ORG ID,VSYS ID,ATTACHED,DETACHED,Total
KDAUT0Z8,KDAUT0Z8-ZG22RK43O,1,0,1
L6WSO2JB,L6WSO2JB-S8RGJQCJV,0,1,1
Q51345R0,Q51345R0-TAW6JJYIS,0,1,1
KDAUT0Z8,KDAUT0Z8-GXJ3D9WH7,1,0,1
VFJPX0I6,VFJPX0I6-FWIMFVZAU,1,0,1
KDAUT0Z8,KDAUT0Z8-Q7TMDYTFQ,1,0,1
KDAUT0Z8,KDAUT0Z8-L2OWOQUB4,1,2,3
KDAUT0Z8,KDAUT0Z8-YF11MCA13,0,10,10
VFJPX0I6,VFJPX0I6-IZLOCSI0R,1,0,1
L6WSO2JB,L6WSO2JB-DTC76HRLK,0,1,1
KDAUT0Z8,KDAUT0Z8-EVHA9O5E1,1,0,1
KDAUT0Z8,KDAUT0Z8-ZG07H1199,1,0,1
L6WSO2JB,L6WSO2JB-CTDA0FK0Y,0,1,1
KDAUT0Z8,KDAUT0Z8-9QCW638W7,1,0,1
KDAUT0Z8,KDAUT0Z8-XE00PKBQZ,1,0,1
VFJPX0I6,VFJPX0I6-5M8QLCKIW,0,1,1
BHB1JNRX,BHB1JNRX-4L6ZQ9PB9,0,1,1
8TNNPM4T,8TNNPM4T-BRAQDQ91D,0,3,3
KDAUT0Z8,KDAUT0Z8-7OAAVFIPZ,1,7,8
KDAUT0Z8,KDAUT0Z8-Q7TSCH6BT,1,0,1
GWR0Y8JD,GWR0Y8JD-BR278ZD7O,2,0,2
