ORG ID,VSYS ID,FW(RUN),FW(STOP),SLB(RUN),SLB(STOP),Eco(RUN),Eco(STOP),Std(RUN),Std(STOP),Adv(RUN),Adv(STOP),High(RUN),High(STOP),Total(RUN),Total(STOP),Total)
2RWGRE7S,2RWGRE7S-P6TOVQBQL,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
2RWGRE7S,2RWGRE7S-8PC63SFK3,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
2RWGRE7S,2RWGRE7S-TAYXE7TXX,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2RWGRE7S,2RWGRE7S-K1OIDCN3F,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
2RWGRE7S,Total,0,0,0,0,5,0,1,1,0,0,0,0,6,1,7
1RX9VPKQ,1RX9VPKQ-VCZPP76UG,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
1RX9VPKQ,1RX9VPKQ-YF2RDGOUA,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
1RX9VPKQ,1RX9VPKQ-3K7XX9769,0,0,0,0,4,0,1,0,0,0,0,0,5,0,5
1RX9VPKQ,1RX9VPKQ-N4S1GJ4R3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1RX9VPKQ,Total,0,0,0,0,10,0,1,0,0,0,0,0,11,0,11
6LAMBGJ6,6LAMBGJ6-IZNSBE9JD,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
6LAMBGJ6,Total,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4ZAXJ4TH,4ZAXJ4TH-M3RXLP0G5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4ZAXJ4TH,4ZAXJ4TH-P6U6N1339,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
4ZAXJ4TH,4ZAXJ4TH-K1PVJITE6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4ZAXJ4TH,4ZAXJ4TH-0H5AOCG2Y,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
4ZAXJ4TH,Total,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
QKGBH4JI,QKGBH4JI-R8VAXXNBC,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
QKGBH4JI,Total,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
J753PDX3,J753PDX3-M3RZVBZDK,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
J753PDX3,J753PDX3-1I6EAKXA3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
J753PDX3,Total,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
CY5NS061,CY5NS061-3K84X8SY1,0,0,0,0,3,2,0,1,0,0,0,0,3,3,6
CY5NS061,Total,0,0,0,0,3,2,0,1,0,0,0,0,3,3,6
I0MNJUP4,I0MNJUP4-5MA6UYTT0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
I0MNJUP4,I0MNJUP4-O5TO8T7E6,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5
I0MNJUP4,I0MNJUP4-EVJHJ3O62,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
I0MNJUP4,I0MNJUP4-BSGP88W60,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
I0MNJUP4,Total,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10
GYANE3YW,GYANE3YW-FWJLDLNQ6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GYANE3YW,Total,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
QDNVEEF6,QDNVEEF6-TAXZR1LRP,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
QDNVEEF6,Total,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
LVDMJL47,LVDMJL47-HYK7A3386,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
LVDMJL47,LVDMJL47-HYK7695MS,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
LVDMJL47,Total,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10
DAHRWSVQ,DAHRWSVQ-O5SHRKKCI,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
DAHRWSVQ,Total,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
YWPHKZIK,YWPHKZIK-7OBTDDEXZ,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YWPHKZIK,Total,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
