Organization,VSYS,type,size(GB)
LVDMJL47,LVDMJL47-HYK7A3386,sysvol,58
LVDMJL47,LVDMJL47-HYK7A3386,Total,58
LVDMJL47,LVDMJL47-HYK7695MS,sysvol,58
LVDMJL47,LVDMJL47-HYK7695MS,Total,58
LVDMJL47,-,Total,116
DAHRWSVQ,DAHRWSVQ-6NFEEAV0C,sysvol,8
DAHRWSVQ,DAHRWSVQ-6NFEEAV0C,Total,8
DAHRWSVQ,DAHRWSVQ-ZG8INSPFM,sysvol,88
DAHRWSVQ,DAHRWSVQ-ZG8INSPFM,Total,88
DAHRWSVQ,DAHRWSVQ-1IAGBA6E5,sysvol,48
DAHRWSVQ,DAHRWSVQ-1IAGBA6E5,Total,48
DAHRWSVQ,DAHRWSVQ-J0SYPLH0W,sysvol,28
DAHRWSVQ,DAHRWSVQ-J0SYPLH0W,Total,28
DAHRWSVQ,-,Total,172
96TFSMXJ,96TFSMXJ-ARIVC1GC5,sysvol,18
96TFSMXJ,96TFSMXJ-ARIVC1GC5,BACKUP,10
96TFSMXJ,96TFSMXJ-ARIVC1GC5,Total,28
96TFSMXJ,-,Total,28
PH6X30ND,PH6X30ND-M3VXSUDIB,sysvol,32
PH6X30ND,PH6X30ND-M3VXSUDIB,Total,32
PH6X30ND,PH6X30ND-O5WMRNZZM,sysvol,16
PH6X30ND,PH6X30ND-O5WMRNZZM,Total,16
PH6X30ND,PH6X30ND-R8Z61UVRL,sysvol,48
PH6X30ND,PH6X30ND-R8Z61UVRL,EX_DISK,20
PH6X30ND,PH6X30ND-R8Z61UVRL,Total,68
PH6X30ND,-,Total,116
808H1YQ6,808H1YQ6-7OF2ASWOL,sysvol,18
808H1YQ6,808H1YQ6-7OF2ASWOL,EX_DISK,10
808H1YQ6,808H1YQ6-7OF2ASWOL,Total,28
808H1YQ6,-,Total,28
DD53NWF9,DD53NWF9-ARIPM6TKF,sysvol,108
DD53NWF9,DD53NWF9-ARIPM6TKF,BACKUP,30
DD53NWF9,DD53NWF9-ARIPM6TKF,Total,138
DD53NWF9,DD53NWF9-5MCEQS0HY,sysvol,288
DD53NWF9,DD53NWF9-5MCEQS0HY,Total,288
DD53NWF9,-,Total,426
9Z2MRKCY,9Z2MRKCY-FWOPAWU1Q,sysvol,208
9Z2MRKCY,9Z2MRKCY-FWOPAWU1Q,Total,208
9Z2MRKCY,9Z2MRKCY-M3V1UH1E1,sysvol,28
9Z2MRKCY,9Z2MRKCY-M3V1UH1E1,Total,28
9Z2MRKCY,-,Total,236
LMK6NLBK,LMK6NLBK-9QG1MQ5Q5,sysvol,48
LMK6NLBK,LMK6NLBK-9QG1MQ5Q5,Total,48
LMK6NLBK,-,Total,48
PMJU8E02,PMJU8E02-4LCJ6GKFE,sysvol,48
PMJU8E02,PMJU8E02-4LCJ6GKFE,BACKUP,20
PMJU8E02,PMJU8E02-4LCJ6GKFE,Total,68
PMJU8E02,PMJU8E02-BSJNNORKO,sysvol,108
PMJU8E02,PMJU8E02-BSJNNORKO,BACKUP,10
PMJU8E02,PMJU8E02-BSJNNORKO,Total,118
PMJU8E02,PMJU8E02-EVMQNPXTO,sysvol,256
PMJU8E02,PMJU8E02-EVMQNPXTO,EX_DISK,10
PMJU8E02,PMJU8E02-EVMQNPXTO,Total,266
PMJU8E02,PMJU8E02-5MDUFE7F4,sysvol,18
PMJU8E02,PMJU8E02-5MDUFE7F4,Total,18
PMJU8E02,-,Total,470
MGM2D8H1,MGM2D8H1-VC44QK52K,sysvol,28
MGM2D8H1,MGM2D8H1-VC44QK52K,Total,28
MGM2D8H1,MGM2D8H1-XE624VACR,sysvol,36
MGM2D8H1,MGM2D8H1-XE624VACR,BACKUP,10
MGM2D8H1,MGM2D8H1-XE624VACR,Total,46
MGM2D8H1,-,Total,74
664LHG1I,664LHG1I-VC4EFEMTQ,sysvol,36
664LHG1I,664LHG1I-VC4EFEMTQ,EX_DISK,10
664LHG1I,664LHG1I-VC4EFEMTQ,Total,46
664LHG1I,-,Total,46
