HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0003-0001,59520,0.000235,13.987200,0.000200,11.904000
AUS,AUS-SD-0001-0001,498480,0.000235,117.142800,0.000200,99.696000
AUS,AUS-VM-0001-0003,6370,0.486808,3100.966960,0.413800,2635.906000
AUS,AUS-IP-0001-0001,6696,0.012600,84.369600,0.010700,71.647200
AUS,AUS-VM-0001-0004,4048,0.973615,3941.193520,0.827600,3350.124800
AUS,AUS-NW-0002-0001,1488,0.026689,39.713232,0.022700,33.777600
AUS,AUS-DK-0001-0001,8609040,0.000235,2023.124400,0.000200,1721.808000
AUS,AUS-NW-0001-0001,24,0.012600,0.302400,0.010700,0.256800
AUS,AUS-VM-0001-0002,1488,0.243976,363.036288,0.207400,308.611200
AUS,AUS-VM-0001-0001,1488,0.121416,180.667008,0.103200,153.561600
Total,-,-,9864.503408,-,8387.2932
