HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0003-0001,29760,0.000235,6.993600,0.000200,5.952000
AUS,AUS-VM-0001-0003,32,0.486808,15.577856,0.413800,13.241600
AUS,AUS-SD-0001-0001,315051,0.000235,74.036985,0.000200,63.010200
AUS,AUS-DK-0002-0001,81840,0.000235,19.232400,0.000200,16.368000
AUS,AUS-IP-0001-0001,19373,0.012600,244.099800,0.010700,207.291100
AUS,AUS-DK-0001-0001,32100,0.000235,7.543500,0.000200,6.420000
AUS,AUS-NW-0001-0001,1,0.012600,0.012600,0.010700,0.010700
AUS,AUS-VM-0001-0002,1488,0.243976,363.036288,0.207400,308.611200
AUS,AUS-VM-0001-0001,1512,0.121416,183.580992,0.103200,156.038400
Total,-,-,914.114021,-,776.9432
