HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0003-0001,15600,0.000235,3.666000,0.000200,3.120000
AUS,AUS-SD-0001-0001,98830,0.000235,23.225050,0.000200,19.766000
AUS,AUS-DK-0002-0001,31400,0.000235,7.379000,0.000200,6.280000
AUS,AUS-IP-0001-0001,996,0.012600,12.549600,0.010700,10.657200
AUS,AUS-DK-0003-0002,7780,0.000235,1.828300,0.000200,1.556000
AUS,AUS-DK-0001-0001,14660,0.000235,3.445100,0.000200,2.932000
AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
AUS,AUS-VM-0001-0002,15,0.243976,3.659640,0.207400,3.111000
AUS,AUS-VM-0001-0001,24,0.121416,2.913984,0.103200,2.476800
Total,-,-,58.666674,-,49.899
