HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0003-0001,297600,0.000235,69.936000,0.000200,59.520000
AUS,AUS-SD-0001-0001,572880,0.000235,134.626800,0.000200,114.576000
AUS,AUS-VM-0001-0003,4464,0.486808,2173.110912,0.413800,1847.203200
AUS,AUS-DK-0002-0001,461280,0.000235,108.400800,0.000200,92.256000
AUS,AUS-IP-0001-0001,5208,0.012600,65.620800,0.010700,55.725600
AUS,AUS-DK-0001-0001,922560,0.000235,216.801600,0.000200,184.512000
AUS,AUS-NW-0001-0001,8,0.012600,0.100800,0.010700,0.085600
AUS,AUS-VM-0001-0002,4464,0.243976,1089.108864,0.207400,925.833600
AUS,AUS-VM-0001-0001,5208,0.121416,632.334528,0.103200,537.465600
Total,-,-,4490.041104,-,3817.1776
