HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0003-0001,206480,0.000235,48.522800,0.000200,41.296000
AUS,AUS-SD-0001-0001,297600,0.000235,69.936000,0.000200,59.520000
AUS,AUS-VM-0001-0003,4463,0.486808,2172.624104,0.413800,1846.789400
AUS,AUS-IP-0001-0001,5208,0.012600,65.620800,0.010700,55.725600
AUS,AUS-VM-0001-0004,2231,0.973615,2172.135065,0.827600,1846.375600
AUS,AUS-DK-0003-0002,89280,0.000235,20.980800,0.000200,17.856000
AUS,AUS-DK-0001-0001,505920,0.000235,118.891200,0.000200,101.184000
AUS,AUS-VM-0001-0011,744,1.947230,1448.739120,1.655100,1231.394400
AUS,AUS-NW-0001-0001,91,0.012600,1.146600,0.010700,0.973700
Total,-,-,6118.596489,-,5201.1147
