HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0003-0001,522240,0.000235,122.726400,0.000200,104.448000
AUS,AUS-SD-0001-0001,632440,0.000235,148.623400,0.000200,126.488000
AUS,AUS-DK-0002-0001,186010,0.000235,43.712350,0.000200,37.202000
AUS,AUS-IP-0001-0001,9672,0.012600,121.867200,0.010700,103.490400
AUS,AUS-VM-0001-0004,5881,0.973615,5725.829815,0.827600,4867.115600
AUS,AUS-DK-0001-0001,612800,0.000235,144.008000,0.000200,122.560000
AUS,AUS-NW-0001-0001,13,0.012600,0.163800,0.010700,0.139100
AUS,AUS-VM-0001-0002,2232,0.243976,544.554432,0.207400,462.916800
AUS,AUS-VM-0001-0001,5650,0.121416,686.000400,0.103200,583.080000
Total,-,-,7537.485797,-,6407.4399
