HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0003-0001,96720,0.000235,22.729200,0.000200,19.344000
AUS,AUS-SD-0001-0001,1579225,0.000235,371.117875,0.000200,315.845000
AUS,AUS-DK-0002-0001,253470,0.000235,59.565450,0.000200,50.694000
AUS,AUS-IP-0001-0001,12648,0.012600,159.364800,0.010700,135.333600
AUS,AUS-DK-0003-0002,40860,0.000235,9.602100,0.000200,8.172000
AUS,AUS-NW-0002-0001,1045,0.026689,27.890005,0.022700,23.721500
AUS,AUS-DK-0001-0001,484890,0.000235,113.949150,0.000200,96.978000
AUS,AUS-NW-0001-0001,120,0.012600,1.512000,0.010700,1.284000
AUS,AUS-VM-0001-0002,748,0.243976,182.494048,0.207400,155.135200
AUS,AUS-VM-0001-0001,15949,0.121416,1936.463784,0.103200,1645.936800
Total,-,-,2884.688412,-,2452.4441
