ContractID,HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
0GR491V7,AUS,AUS-DK-0003-0001,7440,0.000235,1.748400,0.000200,1.488000
0GR491V7,AUS,AUS-VM-0001-0003,744,0.486808,362.185152,0.413800,307.867200
0GR491V7,AUS,AUS-SD-0001-0001,22171,0.000235,5.210185,0.000200,4.434200
0GR491V7,AUS,AUS-DK-0001-0001,44640,0.000235,10.490400,0.000200,8.928000
0GR491V7,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
0GR491V7,AUS,AUS-IP-0001-0001,2232,0.012600,28.123200,0.010700,23.882400
0GR491V7,AUS,AUS-VM-0001-0001,1488,0.121416,180.667008,0.103200,153.561600
0GR491V7,-,Total,-,-,588.424345,-,500.1614
0NG8WNQS,AUS,AUS-SD-0001-0001,66960,0.000235,15.735600,0.000200,13.392000
0NG8WNQS,AUS,AUS-DK-0001-0001,14880,0.000235,3.496800,0.000200,2.976000
0NG8WNQS,-,Total,-,-,19.2324,-,16.368
1ZGP4X2O,AUS,AUS-DK-0003-0001,59520,0.000235,13.987200,0.000200,11.904000
1ZGP4X2O,AUS,AUS-SD-0001-0001,498480,0.000235,117.142800,0.000200,99.696000
1ZGP4X2O,AUS,AUS-VM-0001-0003,6370,0.486808,3100.966960,0.413800,2635.906000
1ZGP4X2O,AUS,AUS-IP-0001-0001,6696,0.012600,84.369600,0.010700,71.647200
1ZGP4X2O,AUS,AUS-VM-0001-0004,4048,0.973615,3941.193520,0.827600,3350.124800
1ZGP4X2O,AUS,AUS-NW-0002-0001,1488,0.026689,39.713232,0.022700,33.777600
1ZGP4X2O,AUS,AUS-DK-0001-0001,8609040,0.000235,2023.124400,0.000200,1721.808000
1ZGP4X2O,AUS,AUS-NW-0001-0001,24,0.012600,0.302400,0.010700,0.256800
1ZGP4X2O,AUS,AUS-VM-0001-0002,1488,0.243976,363.036288,0.207400,308.611200
1ZGP4X2O,AUS,AUS-VM-0001-0001,1488,0.121416,180.667008,0.103200,153.561600
1ZGP4X2O,-,Total,-,-,9864.503408,-,8387.2932
2R36AA8H,AUS,AUS-SD-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
2R36AA8H,AUS,AUS-DK-0001-0001,148800,0.000235,34.968000,0.000200,29.760000
2R36AA8H,AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
2R36AA8H,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
2R36AA8H,AUS,AUS-VM-0001-0004,744,0.973615,724.369560,0.827600,615.734400
2R36AA8H,-,Total,-,-,775.70556,-,659.4072
478CP117,AUS,AUS-DK-0003-0001,29760,0.000235,6.993600,0.000200,5.952000
478CP117,AUS,AUS-VM-0001-0003,32,0.486808,15.577856,0.413800,13.241600
478CP117,AUS,AUS-SD-0001-0001,315051,0.000235,74.036985,0.000200,63.010200
478CP117,AUS,AUS-DK-0002-0001,81840,0.000235,19.232400,0.000200,16.368000
478CP117,AUS,AUS-IP-0001-0001,19373,0.012600,244.099800,0.010700,207.291100
478CP117,AUS,AUS-DK-0001-0001,32100,0.000235,7.543500,0.000200,6.420000
478CP117,AUS,AUS-NW-0001-0001,1,0.012600,0.012600,0.010700,0.010700
478CP117,AUS,AUS-VM-0001-0002,1488,0.243976,363.036288,0.207400,308.611200
478CP117,AUS,AUS-VM-0001-0001,1512,0.121416,183.580992,0.103200,156.038400
478CP117,-,Total,-,-,914.114021,-,776.9432
5DFGCQ7H,AUS,AUS-DK-0003-0001,29760,0.000235,6.993600,0.000200,5.952000
5DFGCQ7H,AUS,AUS-SD-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
5DFGCQ7H,AUS,AUS-NW-0001-0001,7,0.012600,0.088200,0.010700,0.074900
5DFGCQ7H,AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
5DFGCQ7H,AUS,AUS-VM-0001-0002,744,0.243976,181.518144,0.207400,154.305600
5DFGCQ7H,-,Total,-,-,214.342344,-,182.2061
7UT533YT,AUS,AUS-DK-0003-0001,297600,0.000235,69.936000,0.000200,59.520000
7UT533YT,AUS,AUS-SD-0001-0001,572880,0.000235,134.626800,0.000200,114.576000
7UT533YT,AUS,AUS-VM-0001-0003,4464,0.486808,2173.110912,0.413800,1847.203200
7UT533YT,AUS,AUS-DK-0002-0001,461280,0.000235,108.400800,0.000200,92.256000
7UT533YT,AUS,AUS-IP-0001-0001,5208,0.012600,65.620800,0.010700,55.725600
7UT533YT,AUS,AUS-DK-0001-0001,922560,0.000235,216.801600,0.000200,184.512000
7UT533YT,AUS,AUS-NW-0001-0001,8,0.012600,0.100800,0.010700,0.085600
7UT533YT,AUS,AUS-VM-0001-0002,4464,0.243976,1089.108864,0.207400,925.833600
7UT533YT,AUS,AUS-VM-0001-0001,5208,0.121416,632.334528,0.103200,537.465600
7UT533YT,-,Total,-,-,4490.041104,-,3817.1776
8A1Q1EW6,AUS,AUS-SD-0001-0001,7440,0.000235,1.748400,0.000200,1.488000
8A1Q1EW6,AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
8A1Q1EW6,-,Total,-,-,11.1228,-,9.4488
