HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,6696,0.973000,6515.208000,0.167700,1122.919200
DEU,DEU-DK-0001-0001,89280,0.000190,16.963200,0.000160,14.284800
DEU,DEU-IP-0001-0001,11108,0.010000,111.080000,0.008700,96.639600
DEU,DEU-DK-0003-0001,29760,0.000190,5.654400,0.000160,4.761600
DEU,DEU-NW-0002-0001,1488,0.021500,31.992000,0.018300,27.230400
DEU,DEU-VM-0001-0001,8188,0.098200,804.061600,0.083500,683.698000
DEU,DEU-DK-0002-0001,52080,0.000190,9.895200,0.000160,8.332800
DEU,DEU-VM-0001-0004,2976,0.787300,2343.004800,0.669200,1991.539200
DEU,DEU-NW-0001-0001,5,0.010200,0.051000,0.008700,0.043500
DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.334600,248.942400
DEU,DEU-SD-0001-0001,192930,0.000190,36.656700,0.000160,30.868800
Total,-,-,10167.4053,-,4229.2603
