HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,1830,0.973000,1780.590000,0.167700,306.891000
DEU,DEU-DK-0003-0002,448070,0.000190,85.133300,0.000160,71.691200
DEU,DEU-DK-0001-0001,799550,0.000190,151.914500,0.000160,127.928000
DEU,DEU-IP-0001-0001,5764,0.010000,57.640000,0.008700,50.146800
DEU,DEU-VM-0001-0001,127,0.098200,12.471400,0.083500,10.604500
DEU,DEU-DK-0003-0001,584190,0.000190,110.996100,0.000160,93.470400
DEU,DEU-DK-0002-0001,169320,0.000190,32.170800,0.000160,27.091200
DEU,DEU-NW-0001-0001,15,0.010200,0.153000,0.008700,0.130500
DEU,DEU-VM-0001-0003,2232,0.393600,878.515200,0.334600,746.827200
DEU,DEU-SD-0001-0001,272180,0.000190,51.714200,0.000160,43.548800
Total,-,-,3161.2985,-,1478.3296
