HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,1488,0.973000,1447.824000,0.167700,249.537600
DEU,DEU-DK-0001-0001,1889760,0.000190,359.054400,0.000160,302.361600
DEU,DEU-IP-0001-0001,4464,0.010000,44.640000,0.008700,38.836800
DEU,DEU-VM-0001-0001,2232,0.098200,219.182400,0.083500,186.372000
DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.018300,13.615200
DEU,DEU-DK-0002-0001,81840,0.000190,15.549600,0.000160,13.094400
DEU,DEU-NW-0001-0001,284,0.010200,2.896800,0.008700,2.470800
DEU,DEU-VM-0001-0003,1488,0.393600,585.676800,0.334600,497.884800
DEU,DEU-SD-0001-0001,148800,0.000190,28.272000,0.000160,23.808000
Total,-,-,2719.092,-,1327.9812
