HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,990,0.973000,963.270000,0.167700,166.023000
DEU,DEU-DK-0003-0002,68400,0.000190,12.996000,0.000160,10.944000
DEU,DEU-DK-0001-0001,377600,0.000190,71.744000,0.000160,60.416000
DEU,DEU-IP-0001-0001,4485,0.010000,44.850000,0.008700,39.019500
DEU,DEU-NW-0002-0001,144,0.021500,3.096000,0.018300,2.635200
DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
DEU,DEU-DK-0003-0001,7440,0.000190,1.413600,0.000160,1.190400
DEU,DEU-DK-0002-0001,193600,0.000190,36.784000,0.000160,30.976000
DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
DEU,DEU-VM-0001-0003,106,0.393600,41.721600,0.334600,35.467600
DEU,DEU-SD-0001-0001,311340,0.000190,59.154600,0.000160,49.814400
Total,-,-,1308.0906,-,458.6101
