HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-DK-0003-0002,74400,0.000190,14.136000,0.000160,11.904000
DEU,DEU-VM-0001-0002,5938,0.973000,5777.674000,0.167700,995.802600
DEU,DEU-DK-0001-0001,1577280,0.000190,299.683200,0.000160,252.364800
DEU,DEU-IP-0001-0001,8184,0.010000,81.840000,0.008700,71.200800
DEU,DEU-VM-0001-0001,2232,0.098200,219.182400,0.083500,186.372000
DEU,DEU-NW-0002-0001,2276,0.021500,48.934000,0.018300,41.650800
DEU,DEU-DK-0003-0001,89280,0.000190,16.963200,0.000160,14.284800
DEU,DEU-VM-0001-0004,744,0.787300,585.751200,0.669200,497.884800
DEU,DEU-NW-0001-0001,40,0.010200,0.408000,0.008700,0.348000
DEU,DEU-VM-0001-0003,950,0.393600,373.920000,0.334600,317.870000
DEU,DEU-SD-0001-0001,520800,0.000190,98.952000,0.000160,83.328000
Total,-,-,7517.444,-,2473.0106
