HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,4426,0.973000,4306.498000,0.167700,742.240200
DEU,DEU-DK-0001-0001,558000,0.000190,106.020000,0.000160,89.280000
DEU,DEU-IP-0001-0001,5208,0.010000,52.080000,0.008700,45.309600
DEU,DEU-DK-0003-0001,29760,0.000190,5.654400,0.000160,4.761600
DEU,DEU-VM-0001-0001,3663,0.098200,359.706600,0.083500,305.860500
DEU,DEU-DK-0002-0001,178560,0.000190,33.926400,0.000160,28.569600
DEU,DEU-NW-0001-0001,14,0.010200,0.142800,0.008700,0.121800
DEU,DEU-VM-0001-0003,1488,0.393600,585.676800,0.334600,497.884800
DEU,DEU-SD-0001-0001,779000,0.000190,148.010000,0.000160,124.640000
Total,-,-,5597.715,-,1838.6681
