HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,2232,0.973000,2171.736000,0.167700,374.306400
DEU,DEU-DK-0003-0002,215760,0.000190,40.994400,0.000160,34.521600
DEU,DEU-DK-0001-0001,148800,0.000190,28.272000,0.000160,23.808000
DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.008700,12.945600
DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
DEU,DEU-DK-0003-0001,416640,0.000190,79.161600,0.000160,66.662400
DEU,DEU-NW-0001-0001,209,0.010200,2.131800,0.008700,1.818300
DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.334600,248.942400
DEU,DEU-SD-0001-0001,148800,0.000190,28.272000,0.000160,23.808000
Total,-,-,2731.347,-,848.9367
