HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0011,1,1.574700,1.574700,1.338500,1.338500
DEU,DEU-VM-0001-0002,4380,0.973000,4261.740000,0.167700,734.526000
DEU,DEU-DK-0003-0002,29770,0.000190,5.656300,0.000160,4.763200
DEU,DEU-DK-0001-0001,519510,0.000190,98.706900,0.000160,83.121600
DEU,DEU-NW-0002-0011,5,0.870000,4.350000,0.736200,3.681000
DEU,DEU-IP-0001-0001,4672,0.010000,46.720000,0.008700,40.646400
DEU,DEU-VM-0001-0001,1336,0.098200,131.195200,0.083500,111.556000
DEU,DEU-DK-0003-0001,418010,0.000190,79.421900,0.000160,66.881600
DEU,DEU-DK-0002-0001,737860,0.000190,140.193400,0.000160,118.057600
DEU,DEU-VM-0001-0003,1,0.393600,0.393600,0.334600,0.334600
DEU,DEU-SD-0001-0001,594990,0.000190,113.048100,0.000160,95.198400
Total,-,-,4883.0001,-,1260.1049
