HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-DK-0001-0001,148800,0.000190,28.272000,0.000160,23.808000
DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.018300,13.615200
DEU,DEU-DK-0003-0001,119040,0.000190,22.617600,0.000160,19.046400
DEU,DEU-DK-0002-0001,119040,0.000190,22.617600,0.000160,19.046400
DEU,DEU-VM-0001-0004,744,0.787300,585.751200,0.669200,497.884800
DEU,DEU-NW-0001-0001,6,0.010200,0.061200,0.008700,0.052200
DEU,DEU-VM-0001-0003,2232,0.393600,878.515200,0.334600,746.827200
DEU,DEU-SD-0001-0001,119040,0.000190,22.617600,0.000160,19.046400
Total,-,-,1583.8884,-,1345.7994
