HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,2976,0.973000,2895.648000,0.167700,499.075200
DEU,DEU-DK-0003-0002,148800,0.000190,28.272000,0.000160,23.808000
DEU,DEU-DK-0001-0001,1703760,0.000190,323.714400,0.000160,272.601600
DEU,DEU-IP-0001-0001,3720,0.010000,37.200000,0.008700,32.364000
DEU,DEU-VM-0001-0001,2976,0.098200,292.243200,0.083500,248.496000
DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.018300,13.615200
DEU,DEU-DK-0003-0001,148800,0.000190,28.272000,0.000160,23.808000
DEU,DEU-DK-0002-0001,14880,0.000190,2.827200,0.000160,2.380800
DEU,DEU-NW-0001-0001,12,0.010200,0.122400,0.008700,0.104400
DEU,DEU-VM-0001-0003,2976,0.393600,1171.353600,0.334600,995.769600
DEU,DEU-SD-0001-0001,729120,0.000190,138.532800,0.000160,116.659200
Total,-,-,4934.1816,-,2228.682
