HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,1488,0.973000,1447.824000,0.167700,249.537600
DEU,DEU-DK-0003-0002,148800,0.000190,28.272000,0.000160,23.808000
DEU,DEU-DK-0001-0001,4836000,0.000190,918.840000,0.000160,773.760000
DEU,DEU-IP-0001-0001,2976,0.010000,29.760000,0.008700,25.891200
DEU,DEU-DK-0003-0001,238080,0.000190,45.235200,0.000160,38.092800
DEU,DEU-NW-0001-0001,1,0.010200,0.010200,0.008700,0.008700
DEU,DEU-VM-0001-0004,4464,0.787300,3514.507200,0.669200,2987.308800
DEU,DEU-VM-0001-0003,4464,0.393600,1757.030400,0.334600,1493.654400
DEU,DEU-SD-0001-0001,372000,0.000190,70.680000,0.000160,59.520000
Total,-,-,7812.159,-,5651.5815
