HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,2451,0.973000,2384.823000,0.167700,411.032700
DEU,DEU-DK-0001-0001,838800,0.000190,159.372000,0.000160,134.208000
DEU,DEU-IP-0001-0001,2278,0.010000,22.780000,0.008700,19.818600
DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.018300,13.615200
DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
DEU,DEU-NW-0001-0001,28,0.010200,0.285600,0.008700,0.243600
DEU,DEU-VM-0001-0004,2935,0.787300,2310.725500,0.669200,1964.102000
DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.334600,248.942400
DEU,DEU-SD-0001-0001,335960,0.000190,63.832400,0.000160,53.753600
Total,-,-,5323.7137,-,2907.8401
