HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,257,0.973000,250.061000,0.167700,43.098900
DEU,DEU-DK-0001-0001,216800,0.000190,41.192000,0.000160,34.688000
DEU,DEU-IP-0001-0001,1899,0.010000,18.990000,0.008700,16.521300
DEU,DEU-VM-0001-0001,1653,0.098200,162.324600,0.083500,138.025500
DEU,DEU-NW-0002-0001,546,0.021500,11.739000,0.018300,9.991800
DEU,DEU-DK-0003-0001,4670,0.000190,0.887300,0.000160,0.747200
DEU,DEU-DK-0002-0001,354960,0.000190,67.442400,0.000160,56.793600
DEU,DEU-VM-0001-0004,274,0.787300,215.720200,0.669200,183.360800
DEU,DEU-VM-0001-0003,2517,0.393600,990.691200,0.334600,842.188200
DEU,DEU-SD-0001-0001,400580,0.000190,76.110200,0.000160,64.092800
Total,-,-,1835.1579,-,1389.5081
