ContractID,HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
05WIDFAG,DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.008700,12.945600
05WIDFAG,-,Total,-,-,14.88,-,12.9456
0LP0FQ90,DEU,DEU-VM-0001-0002,1488,0.973000,1447.824000,0.167700,249.537600
0LP0FQ90,DEU,DEU-NW-0001-0001,9,0.010200,0.091800,0.008700,0.078300
0LP0FQ90,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
0LP0FQ90,DEU,DEU-SD-0001-0001,59520,0.000190,11.308800,0.000160,9.523200
0LP0FQ90,-,Total,-,-,1466.6646,-,265.6119
0MQ855N2,DEU,DEU-VM-0001-0004,230,0.787300,181.079000,0.669200,153.916000
0MQ855N2,DEU,DEU-DK-0001-0001,23000,0.000190,4.370000,0.000160,3.680000
0MQ855N2,DEU,DEU-IP-0001-0001,230,0.010000,2.300000,0.008700,2.001000
0MQ855N2,DEU,DEU-SD-0001-0001,9200,0.000190,1.748000,0.000160,1.472000
0MQ855N2,-,Total,-,-,189.497,-,161.069
0ZL7B0CE,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
0ZL7B0CE,DEU,DEU-SD-0001-0001,29760,0.000190,5.654400,0.000160,4.761600
0ZL7B0CE,DEU,DEU-DK-0002-0001,29760,0.000190,5.654400,0.000160,4.761600
0ZL7B0CE,-,Total,-,-,18.7488,-,15.996
18UW1GW8,DEU,DEU-DK-0001-0001,55500,0.000190,10.545000,0.000160,8.880000
18UW1GW8,DEU,DEU-IP-0001-0001,111,0.010000,1.110000,0.008700,0.965700
18UW1GW8,DEU,DEU-SD-0001-0001,4440,0.000190,0.843600,0.000160,0.710400
18UW1GW8,-,Total,-,-,12.4986,-,10.5561
216K1MBE,DEU,DEU-VM-0001-0002,1830,0.973000,1780.590000,0.167700,306.891000
216K1MBE,DEU,DEU-DK-0003-0002,448070,0.000190,85.133300,0.000160,71.691200
216K1MBE,DEU,DEU-DK-0001-0001,799550,0.000190,151.914500,0.000160,127.928000
216K1MBE,DEU,DEU-IP-0001-0001,5764,0.010000,57.640000,0.008700,50.146800
216K1MBE,DEU,DEU-VM-0001-0001,127,0.098200,12.471400,0.083500,10.604500
216K1MBE,DEU,DEU-DK-0003-0001,584190,0.000190,110.996100,0.000160,93.470400
216K1MBE,DEU,DEU-DK-0002-0001,169320,0.000190,32.170800,0.000160,27.091200
216K1MBE,DEU,DEU-NW-0001-0001,15,0.010200,0.153000,0.008700,0.130500
216K1MBE,DEU,DEU-VM-0001-0003,2232,0.393600,878.515200,0.334600,746.827200
216K1MBE,DEU,DEU-SD-0001-0001,272180,0.000190,51.714200,0.000160,43.548800
216K1MBE,-,Total,-,-,3161.2985,-,1478.3296
3UV2K7QK,DEU,DEU-VM-0001-0002,1488,0.973000,1447.824000,0.167700,249.537600
3UV2K7QK,DEU,DEU-DK-0001-0001,1889760,0.000190,359.054400,0.000160,302.361600
3UV2K7QK,DEU,DEU-IP-0001-0001,4464,0.010000,44.640000,0.008700,38.836800
3UV2K7QK,DEU,DEU-VM-0001-0001,2232,0.098200,219.182400,0.083500,186.372000
3UV2K7QK,DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.018300,13.615200
3UV2K7QK,DEU,DEU-DK-0002-0001,81840,0.000190,15.549600,0.000160,13.094400
3UV2K7QK,DEU,DEU-NW-0001-0001,284,0.010200,2.896800,0.008700,2.470800
3UV2K7QK,DEU,DEU-VM-0001-0003,1488,0.393600,585.676800,0.334600,497.884800
3UV2K7QK,DEU,DEU-SD-0001-0001,148800,0.000190,28.272000,0.000160,23.808000
3UV2K7QK,-,Total,-,-,2719.092,-,1327.9812
476KMD2K,DEU,DEU-NW-0001-0001,16,0.010200,0.163200,0.008700,0.139200
476KMD2K,DEU,DEU-DK-0001-0001,7440,0.000190,1.413600,0.000160,1.190400
476KMD2K,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
476KMD2K,DEU,DEU-SD-0001-0001,7440,0.000190,1.413600,0.000160,1.190400
476KMD2K,DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
476KMD2K,-,Total,-,-,83.4912,-,71.1168
4H5MEPXD,DEU,DEU-VM-0001-0002,2232,0.973000,2171.736000,0.167700,374.306400
4H5MEPXD,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
4H5MEPXD,DEU,DEU-DK-0001-0001,669600,0.000190,127.224000,0.000160,107.136000
4H5MEPXD,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
4H5MEPXD,DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.018300,13.615200
4H5MEPXD,DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
4H5MEPXD,DEU,DEU-SD-0001-0001,29760,0.000190,5.654400,0.000160,4.761600
4H5MEPXD,-,Total,-,-,2401.1112,-,568.416
4T1CGRHT,DEU,DEU-IP-0001-0001,385,0.010000,3.850000,0.008700,3.349500
4T1CGRHT,DEU,DEU-SD-0001-0001,1270,0.000190,0.241300,0.000160,0.203200
4T1CGRHT,DEU,DEU-VM-0001-0001,56,0.098200,5.499200,0.083500,4.676000
4T1CGRHT,-,Total,-,-,9.5905,-,8.2287
4VRFVTO3,DEU,DEU-VM-0001-0002,1488,0.973000,1447.824000,0.167700,249.537600
4VRFVTO3,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
4VRFVTO3,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
4VRFVTO3,DEU,DEU-SD-0001-0001,59520,0.000190,11.308800,0.000160,9.523200
4VRFVTO3,-,Total,-,-,1466.5728,-,265.5336
5373G20F,DEU,DEU-DK-0001-0001,74400,0.000190,14.136000,0.000160,11.904000
5373G20F,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
5373G20F,DEU,DEU-VM-0001-0001,1488,0.098200,146.121600,0.083500,124.248000
5373G20F,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
5373G20F,DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.334600,248.942400
5373G20F,DEU,DEU-SD-0001-0001,89280,0.000190,16.963200,0.000160,14.284800
5373G20F,-,Total,-,-,477.4992,-,405.852
5AU1EUIW,DEU,DEU-DK-0001-0001,8216000,0.000190,1561.040000,0.000160,1314.560000
5AU1EUIW,DEU,DEU-IP-0001-0001,9672,0.010000,96.720000,0.008700,84.146400
5AU1EUIW,DEU,DEU-VM-0001-0001,7440,0.098200,730.608000,0.083500,621.240000
5AU1EUIW,DEU,DEU-DK-0002-0001,66960,0.000190,12.722400,0.000160,10.713600
5AU1EUIW,DEU,DEU-NW-0001-0001,57,0.010200,0.581400,0.008700,0.495900
5AU1EUIW,DEU,DEU-VM-0001-0004,1811,0.787300,1425.800300,0.669200,1211.921200
5AU1EUIW,DEU,DEU-VM-0001-0003,4464,0.393600,1757.030400,0.334600,1493.654400
5AU1EUIW,DEU,DEU-SD-0001-0001,165874,0.000190,31.516060,0.000160,26.539840
5AU1EUIW,-,Total,-,-,5616.01856,-,4763.27134
5MJ66BS0,DEU,DEU-VM-0001-0002,4464,0.973000,4343.472000,0.167700,748.612800
5MJ66BS0,DEU,DEU-DK-0003-0002,238080,0.000190,45.235200,0.000160,38.092800
5MJ66BS0,DEU,DEU-DK-0001-0001,6167380,0.000190,1171.802200,0.000160,986.780800
5MJ66BS0,DEU,DEU-IP-0001-0001,8481,0.010000,84.810000,0.008700,73.784700
5MJ66BS0,DEU,DEU-DK-0003-0001,171120,0.000190,32.512800,0.000160,27.379200
5MJ66BS0,DEU,DEU-VM-0001-0001,5544,0.098200,544.420800,0.083500,462.924000
5MJ66BS0,DEU,DEU-NW-0001-0001,599,0.010200,6.109800,0.008700,5.211300
5MJ66BS0,DEU,DEU-VM-0001-0004,4464,0.787300,3514.507200,0.669200,2987.308800
5MJ66BS0,DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.334600,248.942400
5MJ66BS0,DEU,DEU-SD-0001-0001,518690,0.000190,98.551100,0.000160,82.990400
5MJ66BS0,-,Total,-,-,10134.2595,-,5662.0272
5PXILZ1W,DEU,DEU-NW-0001-0001,3,0.010200,0.030600,0.008700,0.026100
5PXILZ1W,DEU,DEU-DK-0001-0001,74400,0.000190,14.136000,0.000160,11.904000
5PXILZ1W,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
5PXILZ1W,DEU,DEU-VM-0001-0003,1488,0.393600,585.676800,0.334600,497.884800
5PXILZ1W,DEU,DEU-SD-0001-0001,59520,0.000190,11.308800,0.000160,9.523200
5PXILZ1W,-,Total,-,-,618.5922,-,525.8109
