HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,2976,0.973000,2895.648000,0.167700,499.075200
DEU,DEU-DK-0001-0001,3526560,0.000190,670.046400,0.000160,564.249600
DEU,DEU-IP-0001-0001,7440,0.010000,74.400000,0.008700,64.728000
DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.018300,13.615200
DEU,DEU-DK-0003-0001,7440,0.000190,1.413600,0.000160,1.190400
DEU,DEU-VM-0001-0001,2232,0.098200,219.182400,0.083500,186.372000
DEU,DEU-DK-0002-0001,89280,0.000190,16.963200,0.000160,14.284800
DEU,DEU-NW-0001-0001,6,0.010200,0.061200,0.008700,0.052200
DEU,DEU-SD-0001-0001,349531,0.000190,66.410890,0.000160,55.924960
Total,-,-,3960.12169,-,1399.49236
