HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,123,0.121000,14.883000,0.007100,0.873300
UKI,UKI-DK-0003-0001,221310,0.000160,35.409600,0.000130,28.770300
UKI,UKI-VM-0001-0003,1505,0.320000,481.600000,0.272400,409.962000
UKI,UKI-DK-0002-0001,59520,0.000160,9.523200,0.000130,7.737600
UKI,UKI-NW-0002-0001,744,0.023000,17.112000,0.014900,11.085600
UKI,UKI-SD-0001-0001,126182,0.000160,20.189120,0.000130,16.403660
UKI,UKI-DK-0001-0001,386880,0.000160,61.900800,0.000130,50.294400
UKI,UKI-VM-0001-0001,2871,0.080000,229.680000,0.067900,194.940900
UKI,UKI-VM-0001-0002,749,0.160000,119.840000,0.136500,102.238500
UKI,UKI-IP-0001-0001,2976,0.008000,23.808000,0.007100,21.129600
UKI,UKI-DK-0003-0002,59520,0.000160,9.523200,0.000130,7.737600
Total,-,-,1023.46892,-,851.17346
