HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,12,0.121000,1.452000,0.007100,0.085200
UKI,UKI-DK-0003-0001,119040,0.000160,19.046400,0.000130,15.475200
UKI,UKI-VM-0001-0003,744,0.320000,238.080000,0.272400,202.665600
UKI,UKI-DK-0002-0001,89280,0.000160,14.284800,0.000130,11.606400
UKI,UKI-SD-0001-0001,59520,0.000160,9.523200,0.000130,7.737600
UKI,UKI-DK-0001-0001,148800,0.000160,23.808000,0.000130,19.344000
UKI,UKI-VM-0001-0004,744,0.640000,476.160000,0.544900,405.405600
UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
UKI,UKI-DK-0003-0002,74400,0.000160,11.904000,0.000130,9.672000
Total,-,-,800.2104,-,677.274
