HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,13,0.121000,1.573000,0.007100,0.092300
UKI,UKI-DK-0003-0001,238080,0.000160,38.092800,0.000130,30.950400
UKI,UKI-VM-0001-0003,3338,0.320000,1068.160000,0.272400,909.271200
UKI,UKI-SD-0001-0001,268400,0.000160,42.944000,0.000130,34.892000
UKI,UKI-DK-0001-0001,3016000,0.000160,482.560000,0.000130,392.080000
UKI,UKI-VM-0001-0004,1474,0.640000,943.360000,0.544900,803.182600
UKI,UKI-IP-0001-0001,1488,0.008000,11.904000,0.007100,10.564800
UKI,UKI-VM-0001-0002,933,0.160000,149.280000,0.136500,127.354500
UKI,UKI-DK-0003-0002,706800,0.000160,113.088000,0.000130,91.884000
Total,-,-,2850.9618,-,2400.2718
