HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,GBP Transfer Price(per unit),GBP Transfer Price
DEU,DEU-VM-0001-0002,744,0.973000,723.912000,0.136500,101.556000
DEU,DEU-DK-0003-0002,37200,0.000190,7.068000,0.000130,4.836000
DEU,DEU-DK-0001-0001,334800,0.000190,63.612000,0.000130,43.524000
DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.007100,10.564800
DEU,DEU-VM-0001-0001,2147,0.098200,210.835400,0.067900,145.781300
DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.014900,11.085600
DEU,DEU-DK-0003-0001,134220,0.000190,25.501800,0.000130,17.448600
DEU,DEU-DK-0002-0001,111600,0.000190,21.204000,0.000130,14.508000
DEU,DEU-NW-0001-0001,78,0.010200,0.795600,0.007100,0.553800
DEU,DEU-SD-0001-0001,74102,0.000190,14.079380,0.000130,9.633260
Total,-,-,1097.88418,-,359.49136
