HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,1,0.121000,0.121000,0.007100,0.007100
UKI,UKI-VM-0001-0003,1488,0.320000,476.160000,0.272400,405.331200
UKI,UKI-DK-0002-0001,96720,0.000160,15.475200,0.000130,12.573600
UKI,UKI-SD-0001-0001,156240,0.000160,24.998400,0.000130,20.311200
UKI,UKI-DK-0001-0001,449670,0.000160,71.947200,0.000130,58.457100
UKI,UKI-VM-0001-0004,1488,0.640000,952.320000,0.544900,810.811200
UKI,UKI-VM-0001-0001,744,0.080000,59.520000,0.067900,50.517600
UKI,UKI-IP-0001-0001,3720,0.008000,29.760000,0.007100,26.412000
UKI,UKI-VM-0001-0002,744,0.160000,119.040000,0.136500,101.556000
Total,-,-,1749.3418,-,1485.977
