HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,GBP Transfer Price(per unit),GBP Transfer Price
DEU,DEU-DK-0003-0002,446400,0.000190,84.816000,0.000130,58.032000
DEU,DEU-DK-0001-0001,1681440,0.000190,319.473600,0.000130,218.587200
DEU,DEU-IP-0001-0001,2976,0.010000,29.760000,0.007100,21.129600
DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.067900,50.517600
DEU,DEU-NW-0002-0001,1488,0.021500,31.992000,0.014900,22.171200
DEU,DEU-DK-0003-0001,327360,0.000190,62.198400,0.000130,42.556800
DEU,DEU-NW-0001-0001,1146,0.010200,11.689200,0.007100,8.136600
DEU,DEU-VM-0001-0004,2232,0.787300,1757.253600,0.544900,1216.216800
DEU,DEU-SD-0001-0001,119040,0.000190,22.617600,0.000130,15.475200
Total,-,-,2392.8612,-,1652.823
