HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,75,0.121000,9.075000,0.007100,0.532500
UKI,UKI-DK-0003-0001,11840,0.000160,1.894400,0.000130,1.539200
UKI,UKI-VM-0001-0011,285,1.280000,364.800000,1.089700,310.564500
UKI,UKI-VM-0001-0003,35,0.320000,11.200000,0.272400,9.534000
UKI,UKI-SD-0001-0001,1063720,0.000160,170.195200,0.000130,138.283600
UKI,UKI-DK-0001-0001,41400,0.000160,6.624000,0.000130,5.382000
UKI,UKI-VM-0001-0004,89,0.640000,56.960000,0.544900,48.496100
UKI,UKI-VM-0001-0002,505,0.160000,80.800000,0.136500,68.932500
UKI,UKI-IP-0001-0001,706,0.008000,5.648000,0.007100,5.012600
Total,-,-,707.1966,-,588.277
