HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,14,0.121000,1.694000,0.007100,0.099400
UKI,UKI-DK-0003-0001,13960,0.000160,2.233600,0.000130,1.814800
UKI,UKI-VM-0001-0003,298,0.320000,95.360000,0.272400,81.175200
UKI,UKI-VM-0001-0011,333,1.280000,426.240000,1.089700,362.870100
UKI,UKI-SD-0001-0001,1263780,0.000160,202.204800,0.000130,164.291400
UKI,UKI-DK-0001-0001,240870,0.000160,38.539200,0.000130,31.313100
UKI,UKI-VM-0001-0004,15,0.640000,9.600000,0.544900,8.173500
UKI,UKI-VM-0001-0001,3431,0.080000,274.480000,0.067900,232.964900
UKI,UKI-IP-0001-0001,1893,0.008000,15.144000,0.007100,13.440300
UKI,UKI-VM-0001-0002,1247,0.160000,199.520000,0.136500,170.215500
Total,-,-,1265.0156,-,1066.3582
