HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-DK-0003-0001,1454670,0.000160,232.747200,0.000130,189.107100
UKI,UKI-NW-0001-0001,4,0.121000,0.484000,0.007100,0.028400
UKI,UKI-DK-0002-0001,476280,0.000160,76.204800,0.000130,61.916400
UKI,UKI-SD-0001-0001,659040,0.000160,105.446400,0.000130,85.675200
UKI,UKI-DK-0001-0001,194020,0.000160,31.043200,0.000130,25.222600
UKI,UKI-VM-0001-0001,28437,0.080000,2274.960000,0.067900,1930.872300
UKI,UKI-DK-0003-0002,268400,0.000160,42.944000,0.000130,34.892000
UKI,UKI-IP-0001-0001,19032,0.008000,152.256000,0.007100,135.127200
UKI,UKI-VM-0001-0002,1485,0.160000,237.600000,0.136500,202.702500
Total,-,-,3153.6856,-,2665.5437
