HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
UKI,UKI-DK-0003-0001,201780,0.000160,32.284800,0.000130,26.231400
UKI,UKI-DK-0002-0001,494880,0.000160,79.180800,0.000130,64.334400
UKI,UKI-NW-0002-0001,2232,0.023000,51.336000,0.014900,33.256800
UKI,UKI-SD-0001-0001,3153785,0.000160,504.605600,0.000130,409.992050
UKI,UKI-DK-0001-0001,438960,0.000160,70.233600,0.000130,57.064800
UKI,UKI-VM-0001-0004,220,0.640000,140.800000,0.544900,119.878000
UKI,UKI-VM-0001-0001,17868,0.080000,1429.440000,0.067900,1213.237200
UKI,UKI-DK-0003-0002,22320,0.000160,3.571200,0.000130,2.901600
UKI,UKI-IP-0001-0001,18638,0.008000,149.104000,0.007100,132.329800
Total,-,-,2460.556,-,2059.22605
