HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,1902,0.121000,230.142000,0.007100,13.504200
UKI,UKI-VM-0001-0003,10353,0.320000,3312.960000,0.272400,2820.157200
UKI,UKI-DK-0002-0001,133920,0.000160,21.427200,0.000130,17.409600
UKI,UKI-SD-0001-0001,899793,0.000160,143.966880,0.000130,116.973090
UKI,UKI-NW-0002-0001,2976,0.023000,68.448000,0.014900,44.342400
UKI,UKI-DK-0001-0001,4595610,0.000160,735.297600,0.000130,597.429300
UKI,UKI-VM-0001-0001,2976,0.080000,238.080000,0.067900,202.070400
UKI,UKI-VM-0001-0004,6650,0.640000,4256.000000,0.544900,3623.585000
UKI,UKI-IP-0001-0001,20088,0.008000,160.704000,0.007100,142.624800
UKI,UKI-VM-0001-0002,6674,0.160000,1067.840000,0.136500,911.001000
Total,-,-,10234.86568,-,8489.09699
