HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,GBP Transfer Price(per unit),GBP Transfer Price
DEU,DEU-VM-0001-0002,4455,0.973000,4334.715000,0.136500,608.107500
DEU,DEU-DK-0003-0002,933640,0.000190,177.391600,0.000130,121.373200
DEU,DEU-DK-0001-0001,903400,0.000190,171.646000,0.000130,117.442000
DEU,DEU-IP-0001-0001,4045,0.010000,40.450000,0.007100,28.719500
DEU,DEU-VM-0001-0001,3720,0.098200,365.304000,0.067900,252.588000
DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.014900,11.085600
DEU,DEU-DK-0003-0001,442600,0.000190,84.094000,0.000130,57.538000
DEU,DEU-DK-0002-0001,178560,0.000190,33.926400,0.000130,23.212800
DEU,DEU-VM-0001-0004,1488,0.787300,1171.502400,0.544900,810.811200
DEU,DEU-NW-0001-0001,298,0.010200,3.039600,0.007100,2.115800
DEU,DEU-VM-0001-0003,1069,0.393600,420.758400,0.272400,291.195600
DEU,DEU-SD-0001-0001,534860,0.000190,101.623400,0.000130,69.531800
Total,-,-,6920.4468,-,2393.721
