HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-DK-0002-0001,355970,0.000160,56.955200,0.000130,46.276100
UKI,UKI-SD-0001-0001,822880,0.000160,131.660800,0.000130,106.974400
UKI,UKI-DK-0003-0002,7440,0.000160,1.190400,0.000130,0.967200
UKI,UKI-NW-0001-0001,9,0.121000,1.089000,0.007100,0.063900
UKI,UKI-DK-0003-0001,118000,0.000160,18.880000,0.000130,15.340000
UKI,UKI-VM-0001-0003,28,0.320000,8.960000,0.272400,7.627200
UKI,UKI-VM-0001-0011,1,1.280000,1.280000,1.089700,1.089700
UKI,UKI-NW-0002-0001,2510,0.023000,57.730000,0.014900,37.399000
UKI,UKI-DK-0001-0001,1569860,0.000160,251.177600,0.000130,204.081800
UKI,UKI-VM-0001-0001,1435,0.080000,114.800000,0.067900,97.436500
UKI,UKI-VM-0001-0004,120,0.640000,76.800000,0.544900,65.388000
UKI,UKI-IP-0001-0001,8107,0.008000,64.856000,0.007100,57.559700
UKI,UKI-VM-0001-0002,4,0.160000,0.640000,0.136500,0.546000
Total,-,-,786.019,-,640.7495
