HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-DK-0003-0001,394320,0.000160,63.091200,0.000130,51.261600
UKI,UKI-NW-0001-0001,8,0.121000,0.968000,0.007100,0.056800
UKI,UKI-VM-0001-0003,8942,0.320000,2861.440000,0.272400,2435.800800
UKI,UKI-NW-0002-0001,2232,0.023000,51.336000,0.014900,33.256800
UKI,UKI-SD-0001-0001,679160,0.000160,108.665600,0.000130,88.290800
UKI,UKI-DK-0001-0001,6867120,0.000160,1098.739200,0.000130,892.725600
UKI,UKI-VM-0001-0001,1488,0.080000,119.040000,0.067900,101.035200
UKI,UKI-VM-0001-0004,3573,0.640000,2286.720000,0.544900,1946.927700
UKI,UKI-VM-0001-0002,2976,0.160000,476.160000,0.136500,406.224000
UKI,UKI-DK-0003-0002,3437280,0.000160,549.964800,0.000130,446.846400
UKI,UKI-IP-0001-0001,4329,0.008000,34.632000,0.007100,30.735900
Total,-,-,7650.7568,-,6433.1616
