HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-DK-0003-0001,620760,0.000160,99.321600,0.000130,80.698800
UKI,UKI-NW-0001-0001,5295,0.121000,640.695000,0.007100,37.594500
UKI,UKI-VM-0001-0003,3720,0.320000,1190.400000,0.272400,1013.328000
UKI,UKI-DK-0002-0001,29760,0.000160,4.761600,0.000130,3.868800
UKI,UKI-SD-0001-0001,809180,0.000160,129.468800,0.000130,105.193400
UKI,UKI-DK-0001-0001,17924250,0.000160,2867.880000,0.000130,2330.152500
UKI,UKI-VM-0001-0001,715,0.080000,57.200000,0.067900,48.548500
UKI,UKI-VM-0001-0004,5207,0.640000,3332.480000,0.544900,2837.294300
UKI,UKI-VM-0001-0002,7545,0.160000,1207.200000,0.136500,1029.892500
UKI,UKI-IP-0001-0001,14136,0.008000,113.088000,0.007100,100.365600
Total,-,-,9642.495,-,7586.9369
