HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,7,0.121000,0.847000,0.007100,0.049700
UKI,UKI-DK-0003-0001,78240,0.000160,12.518400,0.000130,10.171200
UKI,UKI-VM-0001-0003,4392,0.320000,1405.440000,0.272400,1196.380800
UKI,UKI-SD-0001-0001,1318920,0.000160,211.027200,0.000130,171.459600
UKI,UKI-DK-0001-0001,1432940,0.000160,229.270400,0.000130,186.282200
UKI,UKI-VM-0001-0001,3880,0.080000,310.400000,0.067900,263.452000
UKI,UKI-VM-0001-0004,4072,0.640000,2606.080000,0.544900,2218.832800
UKI,UKI-IP-0001-0001,9246,0.008000,73.968000,0.007100,65.646600
UKI,UKI-VM-0001-0002,7778,0.160000,1244.480000,0.136500,1061.697000
Total,-,-,6094.031,-,5173.9719
