Product ID,Unit,GBP Transfer Price(per unit),GBP Transfer Price
DEU-IP-0001-0001,12229,0.007100,86.8259
UKI-DK-0002-0001,1159640,0.000130,150.7532
DEU-DK-0003-0001,993460,0.000130,129.1498
DEU-VM-0001-0001,7355,0.067900,499.4045
UKI-SD-0001-0001,10196288,0.000130,1325.51744
DEU-DK-0002-0001,319920,0.000130,41.5896
DEU-SD-0001-0001,1003282,0.000130,130.42666
UKI-DK-0003-0002,5676800,0.000130,737.984
UKI-NW-0001-0001,8187,0.007100,58.1277
UKI-DK-0003-0001,3948020,0.000130,513.2426
DEU-DK-0003-0002,1417240,0.000130,184.2412
DEU-VM-0001-0002,5199,0.136500,709.6635
UKI-VM-0001-0011,3425,1.089700,3732.2225
UKI-VM-0001-0003,40269,0.272400,10969.2756
DEU-DK-0001-0001,10117360,0.000130,1315.2568
DEU-NW-0002-0001,2976,0.014900,44.3424
UKI-NW-0002-0001,7440,0.014900,110.856
UKI-DK-0001-0001,48061620,0.000130,6248.0106
UKI-VM-0001-0004,26288,0.544900,14324.3312
UKI-VM-0001-0001,53901,0.067900,3659.8779
DEU-VM-0001-0004,5208,0.544900,2837.8392
DEU-NW-0001-0001,4391,0.007100,31.1761
DEU-VM-0001-0003,3301,0.272400,899.1924
UKI-VM-0001-0002,47220,0.136500,6445.53
UKI-IP-0001-0001,131688,0.007100,934.9848
Total,-,-,56119.8216
