ContractID,HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
00GTEVWR,UKI,UKI-NW-0001-0001,123,0.121000,14.883000,0.007100,0.873300
00GTEVWR,UKI,UKI-DK-0003-0001,221310,0.000160,35.409600,0.000130,28.770300
00GTEVWR,UKI,UKI-VM-0001-0003,1505,0.320000,481.600000,0.272400,409.962000
00GTEVWR,UKI,UKI-DK-0002-0001,59520,0.000160,9.523200,0.000130,7.737600
00GTEVWR,UKI,UKI-NW-0002-0001,744,0.023000,17.112000,0.014900,11.085600
00GTEVWR,UKI,UKI-SD-0001-0001,126182,0.000160,20.189120,0.000130,16.403660
00GTEVWR,UKI,UKI-DK-0001-0001,386880,0.000160,61.900800,0.000130,50.294400
00GTEVWR,UKI,UKI-VM-0001-0001,2871,0.080000,229.680000,0.067900,194.940900
00GTEVWR,UKI,UKI-VM-0001-0002,749,0.160000,119.840000,0.136500,102.238500
00GTEVWR,UKI,UKI-IP-0001-0001,2976,0.008000,23.808000,0.007100,21.129600
00GTEVWR,UKI,UKI-DK-0003-0002,59520,0.000160,9.523200,0.000130,7.737600
00GTEVWR,-,Total,-,-,1023.46892,-,851.17346
0UHC5GBO,DEU,DEU-DK-0001-0001,297600,0.000190,56.544000,0.000130,38.688000
0UHC5GBO,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.007100,5.282400
0UHC5GBO,DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.067900,50.517600
0UHC5GBO,DEU,DEU-NW-0001-0001,49,0.010200,0.499800,0.007100,0.347900
0UHC5GBO,DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.272400,202.665600
0UHC5GBO,DEU,DEU-SD-0001-0001,37200,0.000190,7.068000,0.000130,4.836000
0UHC5GBO,-,Total,-,-,437.451,-,302.3375
0V41FCZC,UKI,UKI-DK-0002-0001,66960,0.000160,10.713600,0.000130,8.704800
0V41FCZC,UKI,UKI-IP-0001-0001,1488,0.008000,11.904000,0.007100,10.564800
0V41FCZC,UKI,UKI-SD-0001-0001,74400,0.000160,11.904000,0.000130,9.672000
0V41FCZC,UKI,UKI-DK-0001-0001,29760,0.000160,4.761600,0.000130,3.868800
0V41FCZC,-,Total,-,-,39.2832,-,32.8104
1D0F405H,UKI,UKI-VM-0001-0001,1488,0.080000,119.040000,0.067900,101.035200
1D0F405H,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
1D0F405H,UKI,UKI-VM-0001-0002,1488,0.160000,238.080000,0.136500,203.112000
1D0F405H,UKI,UKI-SD-0001-0001,74102,0.000160,11.856320,0.000130,9.633260
1D0F405H,UKI,UKI-DK-0001-0001,3720000,0.000160,595.200000,0.000130,483.600000
1D0F405H,-,Total,-,-,970.12832,-,802.66286
26QJ603D,UKI,UKI-NW-0001-0001,12,0.121000,1.452000,0.007100,0.085200
26QJ603D,UKI,UKI-DK-0003-0001,119040,0.000160,19.046400,0.000130,15.475200
26QJ603D,UKI,UKI-VM-0001-0003,744,0.320000,238.080000,0.272400,202.665600
26QJ603D,UKI,UKI-DK-0002-0001,89280,0.000160,14.284800,0.000130,11.606400
26QJ603D,UKI,UKI-SD-0001-0001,59520,0.000160,9.523200,0.000130,7.737600
26QJ603D,UKI,UKI-DK-0001-0001,148800,0.000160,23.808000,0.000130,19.344000
26QJ603D,UKI,UKI-VM-0001-0004,744,0.640000,476.160000,0.544900,405.405600
26QJ603D,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
26QJ603D,UKI,UKI-DK-0003-0002,74400,0.000160,11.904000,0.000130,9.672000
26QJ603D,-,Total,-,-,800.2104,-,677.274
2GDSU42E,UKI,UKI-IP-0001-0001,3405,0.008000,27.240000,0.007100,24.175500
2GDSU42E,UKI,UKI-SD-0001-0001,190680,0.000160,30.508800,0.000130,24.788400
2GDSU42E,UKI,UKI-DK-0001-0001,149820,0.000160,23.971200,0.000130,19.476600
2GDSU42E,-,Total,-,-,81.72,-,68.4405
317NAQAR,UKI,UKI-NW-0001-0001,13,0.121000,1.573000,0.007100,0.092300
317NAQAR,UKI,UKI-DK-0003-0001,238080,0.000160,38.092800,0.000130,30.950400
317NAQAR,UKI,UKI-VM-0001-0003,3338,0.320000,1068.160000,0.272400,909.271200
317NAQAR,UKI,UKI-SD-0001-0001,268400,0.000160,42.944000,0.000130,34.892000
317NAQAR,UKI,UKI-DK-0001-0001,3016000,0.000160,482.560000,0.000130,392.080000
317NAQAR,UKI,UKI-VM-0001-0004,1474,0.640000,943.360000,0.544900,803.182600
317NAQAR,UKI,UKI-IP-0001-0001,1488,0.008000,11.904000,0.007100,10.564800
317NAQAR,UKI,UKI-VM-0001-0002,933,0.160000,149.280000,0.136500,127.354500
317NAQAR,UKI,UKI-DK-0003-0002,706800,0.000160,113.088000,0.000130,91.884000
317NAQAR,-,Total,-,-,2850.9618,-,2400.2718
31XF4M2E,DEU,DEU-VM-0001-0002,744,0.973000,723.912000,0.136500,101.556000
31XF4M2E,DEU,DEU-DK-0003-0002,37200,0.000190,7.068000,0.000130,4.836000
31XF4M2E,DEU,DEU-DK-0001-0001,334800,0.000190,63.612000,0.000130,43.524000
31XF4M2E,DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.007100,10.564800
31XF4M2E,DEU,DEU-VM-0001-0001,2147,0.098200,210.835400,0.067900,145.781300
31XF4M2E,DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.014900,11.085600
31XF4M2E,DEU,DEU-DK-0003-0001,134220,0.000190,25.501800,0.000130,17.448600
31XF4M2E,DEU,DEU-DK-0002-0001,111600,0.000190,21.204000,0.000130,14.508000
31XF4M2E,DEU,DEU-NW-0001-0001,78,0.010200,0.795600,0.007100,0.553800
31XF4M2E,DEU,DEU-SD-0001-0001,74102,0.000190,14.079380,0.000130,9.633260
31XF4M2E,-,Total,-,-,1097.88418,-,359.49136
3M9LQ2RK,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
3M9LQ2RK,UKI,UKI-DK-0002-0001,7440,0.000160,1.190400,0.000130,0.967200
3M9LQ2RK,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
3M9LQ2RK,UKI,UKI-SD-0001-0001,22320,0.000160,3.571200,0.000130,2.901600
3M9LQ2RK,UKI,UKI-VM-0001-0002,633,0.160000,101.280000,0.136500,86.404500
3M9LQ2RK,UKI,UKI-DK-0003-0002,37200,0.000160,5.952000,0.000130,4.836000
3M9LQ2RK,UKI,UKI-DK-0001-0001,74400,0.000160,11.904000,0.000130,9.672000
3M9LQ2RK,-,Total,-,-,129.8496,-,110.0637
4G6HVSYZ,UKI,UKI-NW-0001-0001,1,0.121000,0.121000,0.007100,0.007100
4G6HVSYZ,UKI,UKI-VM-0001-0003,732,0.320000,234.240000,0.272400,199.396800
4G6HVSYZ,UKI,UKI-SD-0001-0001,119040,0.000160,19.046400,0.000130,15.475200
4G6HVSYZ,UKI,UKI-DK-0001-0001,94080,0.000160,15.052800,0.000130,12.230400
4G6HVSYZ,UKI,UKI-VM-0001-0001,557,0.080000,44.560000,0.067900,37.820300
4G6HVSYZ,UKI,UKI-VM-0001-0002,557,0.160000,89.120000,0.136500,76.030500
4G6HVSYZ,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
4G6HVSYZ,-,Total,-,-,408.0922,-,346.2427
5CE2FHUJ,UKI,UKI-DK-0003-0001,44640,0.000160,7.142400,0.000130,5.803200
5CE2FHUJ,UKI,UKI-DK-0002-0001,66960,0.000160,10.713600,0.000130,8.704800
5CE2FHUJ,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
5CE2FHUJ,UKI,UKI-SD-0001-0001,37200,0.000160,5.952000,0.000130,4.836000
5CE2FHUJ,-,Total,-,-,29.76,-,24.6264
61X04OI4,UKI,UKI-NW-0001-0001,19,0.121000,2.299000,0.007100,0.134900
61X04OI4,UKI,UKI-VM-0001-0003,1488,0.320000,476.160000,0.272400,405.331200
61X04OI4,UKI,UKI-SD-0001-0001,208320,0.000160,33.331200,0.000130,27.081600
61X04OI4,UKI,UKI-DK-0001-0001,372000,0.000160,59.520000,0.000130,48.360000
61X04OI4,UKI,UKI-VM-0001-0004,744,0.640000,476.160000,0.544900,405.405600
61X04OI4,UKI,UKI-IP-0001-0001,7440,0.008000,59.520000,0.007100,52.824000
61X04OI4,UKI,UKI-VM-0001-0002,744,0.160000,119.040000,0.136500,101.556000
61X04OI4,-,Total,-,-,1226.0302,-,1040.6933
6BYAZ4J6,UKI,UKI-NW-0001-0001,1,0.121000,0.121000,0.007100,0.007100
6BYAZ4J6,UKI,UKI-VM-0001-0003,1488,0.320000,476.160000,0.272400,405.331200
6BYAZ4J6,UKI,UKI-DK-0002-0001,96720,0.000160,15.475200,0.000130,12.573600
6BYAZ4J6,UKI,UKI-SD-0001-0001,156240,0.000160,24.998400,0.000130,20.311200
6BYAZ4J6,UKI,UKI-DK-0001-0001,449670,0.000160,71.947200,0.000130,58.457100
6BYAZ4J6,UKI,UKI-VM-0001-0004,1488,0.640000,952.320000,0.544900,810.811200
6BYAZ4J6,UKI,UKI-VM-0001-0001,744,0.080000,59.520000,0.067900,50.517600
6BYAZ4J6,UKI,UKI-IP-0001-0001,3720,0.008000,29.760000,0.007100,26.412000
6BYAZ4J6,UKI,UKI-VM-0001-0002,744,0.160000,119.040000,0.136500,101.556000
6BYAZ4J6,-,Total,-,-,1749.3418,-,1485.977
7K6I5Z4C,DEU,DEU-DK-0003-0002,446400,0.000190,84.816000,0.000130,58.032000
7K6I5Z4C,DEU,DEU-DK-0001-0001,1681440,0.000190,319.473600,0.000130,218.587200
7K6I5Z4C,DEU,DEU-IP-0001-0001,2976,0.010000,29.760000,0.007100,21.129600
7K6I5Z4C,DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.067900,50.517600
7K6I5Z4C,DEU,DEU-NW-0002-0001,1488,0.021500,31.992000,0.014900,22.171200
7K6I5Z4C,DEU,DEU-DK-0003-0001,327360,0.000190,62.198400,0.000130,42.556800
7K6I5Z4C,DEU,DEU-NW-0001-0001,1146,0.010200,11.689200,0.007100,8.136600
7K6I5Z4C,DEU,DEU-VM-0001-0004,2232,0.787300,1757.253600,0.544900,1216.216800
7K6I5Z4C,DEU,DEU-SD-0001-0001,119040,0.000190,22.617600,0.000130,15.475200
7K6I5Z4C,-,Total,-,-,2392.8612,-,1652.823
7PV5A3QO,UKI,UKI-NW-0001-0001,49,0.121000,5.929000,0.007100,0.347900
7PV5A3QO,UKI,UKI-VM-0001-0003,744,0.320000,238.080000,0.272400,202.665600
7PV5A3QO,UKI,UKI-IP-0001-0001,5208,0.008000,41.664000,0.007100,36.976800
7PV5A3QO,UKI,UKI-SD-0001-0001,178560,0.000160,28.569600,0.000130,23.212800
7PV5A3QO,UKI,UKI-VM-0001-0002,2232,0.160000,357.120000,0.136500,304.668000
7PV5A3QO,UKI,UKI-DK-0001-0001,446400,0.000160,71.424000,0.000130,58.032000
7PV5A3QO,-,Total,-,-,742.7866,-,625.9031
861SMHAB,UKI,UKI-NW-0001-0001,75,0.121000,9.075000,0.007100,0.532500
861SMHAB,UKI,UKI-DK-0003-0001,11840,0.000160,1.894400,0.000130,1.539200
861SMHAB,UKI,UKI-VM-0001-0011,285,1.280000,364.800000,1.089700,310.564500
861SMHAB,UKI,UKI-VM-0001-0003,35,0.320000,11.200000,0.272400,9.534000
861SMHAB,UKI,UKI-SD-0001-0001,1063720,0.000160,170.195200,0.000130,138.283600
861SMHAB,UKI,UKI-DK-0001-0001,41400,0.000160,6.624000,0.000130,5.382000
861SMHAB,UKI,UKI-VM-0001-0004,89,0.640000,56.960000,0.544900,48.496100
861SMHAB,UKI,UKI-VM-0001-0002,505,0.160000,80.800000,0.136500,68.932500
861SMHAB,UKI,UKI-IP-0001-0001,706,0.008000,5.648000,0.007100,5.012600
861SMHAB,-,Total,-,-,707.1966,-,588.277
8677X7ZH,UKI,UKI-VM-0001-0001,483,0.080000,38.640000,0.067900,32.795700
8677X7ZH,UKI,UKI-NW-0001-0001,142,0.121000,17.182000,0.007100,1.008200
8677X7ZH,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
8677X7ZH,UKI,UKI-SD-0001-0001,29760,0.000160,4.761600,0.000130,3.868800
8677X7ZH,UKI,UKI-DK-0001-0001,223200,0.000160,35.712000,0.000130,29.016000
8677X7ZH,-,Total,-,-,102.2476,-,71.9711
8ECYF9G0,UKI,UKI-SD-0001-0001,119040,0.000160,19.046400,0.000130,15.475200
8ECYF9G0,UKI,UKI-DK-0001-0001,29760,0.000160,4.761600,0.000130,3.868800
8ECYF9G0,-,Total,-,-,23.808,-,19.344
9ZYCPHR6,UKI,UKI-NW-0001-0001,14,0.121000,1.694000,0.007100,0.099400
9ZYCPHR6,UKI,UKI-DK-0003-0001,13960,0.000160,2.233600,0.000130,1.814800
9ZYCPHR6,UKI,UKI-VM-0001-0003,298,0.320000,95.360000,0.272400,81.175200
9ZYCPHR6,UKI,UKI-VM-0001-0011,333,1.280000,426.240000,1.089700,362.870100
9ZYCPHR6,UKI,UKI-SD-0001-0001,1263780,0.000160,202.204800,0.000130,164.291400
9ZYCPHR6,UKI,UKI-DK-0001-0001,240870,0.000160,38.539200,0.000130,31.313100
9ZYCPHR6,UKI,UKI-VM-0001-0004,15,0.640000,9.600000,0.544900,8.173500
