HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,8,0.121000,0.968000,0.007100,0.056800
UKI,UKI-DK-0003-0001,327360,0.000160,52.377600,0.000130,42.556800
UKI,UKI-SD-0001-0001,119040,0.000160,19.046400,0.000130,15.475200
UKI,UKI-NW-0002-0001,744,0.023000,17.112000,0.014900,11.085600
UKI,UKI-DK-0001-0001,930000,0.000160,148.800000,0.000130,120.900000
UKI,UKI-VM-0001-0001,2222,0.080000,177.760000,0.067900,150.873800
UKI,UKI-IP-0001-0001,2232,0.008000,17.856000,0.007100,15.847200
UKI,UKI-DK-0003-0002,409200,0.000160,65.472000,0.000130,53.196000
UKI,UKI-VM-0001-0002,732,0.160000,117.120000,0.136500,99.918000
Total,-,-,616.512,-,509.9094
