HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-DK-0003-0001,29760,0.000160,4.761600,0.000130,3.868800
UKI,UKI-NW-0001-0001,15,0.121000,1.815000,0.007100,0.106500
UKI,UKI-VM-0001-0003,2723,0.320000,871.360000,0.272400,741.745200
UKI,UKI-DK-0002-0001,186000,0.000160,29.760000,0.000130,24.180000
UKI,UKI-NW-0002-0001,744,0.023000,17.112000,0.014900,11.085600
UKI,UKI-SD-0001-0001,251780,0.000160,40.284800,0.000130,32.731400
UKI,UKI-DK-0001-0001,667320,0.000160,106.771200,0.000130,86.751600
UKI,UKI-VM-0001-0001,2338,0.080000,187.040000,0.067900,158.750200
UKI,UKI-VM-0001-0002,793,0.160000,126.880000,0.136500,108.244500
UKI,UKI-IP-0001-0001,4919,0.008000,39.352000,0.007100,34.924900
Total,-,-,1425.1366,-,1202.3887
