HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
UKI,UKI-VM-0001-0003,215,0.320000,68.800000,0.272400,58.566000
UKI,UKI-DK-0002-0001,7440,0.000160,1.190400,0.000130,0.967200
UKI,UKI-NW-0002-0001,744,0.023000,17.112000,0.014900,11.085600
UKI,UKI-SD-0001-0001,37200,0.000160,5.952000,0.000130,4.836000
UKI,UKI-DK-0001-0001,163680,0.000160,26.188800,0.000130,21.278400
UKI,UKI-VM-0001-0001,242,0.080000,19.360000,0.067900,16.431800
UKI,UKI-VM-0001-0002,726,0.160000,116.160000,0.136500,99.099000
UKI,UKI-IP-0001-0001,1488,0.008000,11.904000,0.007100,10.564800
Total,-,-,266.6672,-,222.8288
