HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,JPY Transfer Price(per unit),JPY Transfer Price
DEU,DEU-DK-0003-0002,1876700,0.000190,356.573000,0.000000,0.000000
DEU,DEU-VM-0001-0002,22326,0.973000,21723.198000,0.000000,0.000000
DEU,DEU-DK-0001-0001,3569160,0.000190,678.140400,0.000000,0.000000
DEU,DEU-NW-0002-0011,11214,0.870000,9756.180000,0.000000,0.000000
DEU,DEU-IP-0001-0001,14880,0.010000,148.800000,0.000000,0.000000
DEU,DEU-VM-0001-0001,1460,0.098200,143.372000,0.000000,0.000000
DEU,DEU-NW-0002-0001,4291,0.021500,92.256500,0.000000,0.000000
DEU,DEU-DK-0003-0001,2462640,0.000190,467.901600,0.000000,0.000000
DEU,DEU-VM-0001-0004,18138,0.787300,14280.047400,0.000000,0.000000
DEU,DEU-NW-0001-0001,22,0.010200,0.224400,0.000000,0.000000
DEU,DEU-VM-0001-0003,5425,0.393600,2135.280000,0.000000,0.000000
DEU,DEU-SD-0001-0001,2243680,0.000190,426.299200,0.000000,0.000000
Total,-,-,50208.2725,-,0
