HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,JPY Transfer Price(per unit),JPY Transfer Price
DEU,DEU-VM-0001-0002,79765,0.973000,77611.345000,0.000000,0.000000
DEU,DEU-DK-0003-0002,5394850,0.000190,1025.021500,0.000000,0.000000
DEU,DEU-DK-0001-0001,8764410,0.000190,1665.237900,0.000000,0.000000
DEU,DEU-IP-0001-0001,37556,0.010000,375.560000,0.000000,0.000000
DEU,DEU-VM-0001-0001,2138,0.098200,209.951600,0.000000,0.000000
DEU,DEU-NW-0002-0001,54516,0.021500,1172.094000,0.000000,0.000000
DEU,DEU-DK-0003-0001,9371840,0.000190,1780.649600,0.000000,0.000000
DEU,DEU-DK-0002-0001,714040,0.000190,135.667600,0.000000,0.000000
DEU,DEU-VM-0001-0004,12783,0.787300,10064.055900,0.000000,0.000000
DEU,DEU-NW-0001-0001,38,0.010200,0.387600,0.000000,0.000000
DEU,DEU-VM-0001-0003,30085,0.393600,11841.456000,0.000000,0.000000
DEU,DEU-SD-0001-0001,5888161,0.000190,1118.750590,0.000000,0.000000
Total,-,-,107000.17729,-,0
