HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,JPY Transfer Price(per unit),JPY Transfer Price
UKI,UKI-NW-0001-0001,33,0.121000,3.993000,0.000000,0.000000
UKI,UKI-VM-0001-0003,744,0.320000,238.080000,0.000000,0.000000
UKI,UKI-DK-0002-0001,7440,0.000160,1.190400,0.000000,0.000000
UKI,UKI-NW-0002-0001,2976,0.023000,68.448000,0.000000,0.000000
UKI,UKI-SD-0001-0001,126480,0.000160,20.236800,0.000000,0.000000
UKI,UKI-DK-0001-0001,252960,0.000160,40.473600,0.000000,0.000000
UKI,UKI-VM-0001-0001,744,0.080000,59.520000,0.000000,0.000000
UKI,UKI-IP-0001-0001,2976,0.008000,23.808000,0.000000,0.000000
UKI,UKI-VM-0001-0002,5952,0.160000,952.320000,0.000000,0.000000
Total,-,-,1408.0698,-,0
