HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,JPY Transfer Price(per unit),JPY Transfer Price
SIN,SIN-VM-0001-0004,744,1.226100,912.218400,0.000000,0.000000
SIN,SIN-VM-0001-0002,1488,0.306500,456.072000,0.000000,0.000000
SIN,SIN-DK-0003-0002,379440,0.000300,113.832000,0.000000,0.000000
SIN,SIN-IP-0001-0001,2976,0.015900,47.318400,0.000000,0.000000
SIN,SIN-DK-0001-0001,602640,0.000300,180.792000,0.000000,0.000000
SIN,SIN-NW-0002-0001,744,0.033700,25.072800,0.000000,0.000000
SIN,SIN-DK-0003-0001,133920,0.000300,40.176000,0.000000,0.000000
SIN,SIN-NW-0001-0001,255,0.015900,4.054500,0.000000,0.000000
SIN,SIN-VM-0001-0001,2232,0.153300,342.165600,0.000000,0.000000
SIN,SIN-SD-0001-0001,133920,0.000300,40.176000,0.000000,0.000000
Total,-,-,2161.8777,-,0
