HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-VM-0001-0002,744,0.306500,228.036000,0.261500,194.556000
SIN,SIN-DK-0003-0002,52080,0.000300,15.624000,0.000250,13.020000
SIN,SIN-IP-0001-0001,14880,0.015900,236.592000,0.013500,200.880000
SIN,SIN-DK-0001-0001,1000700,0.000300,300.210000,0.000250,250.175000
SIN,SIN-DK-0003-0001,44640,0.000300,13.392000,0.000250,11.160000
SIN,SIN-NW-0002-0001,2232,0.033700,75.218400,0.028600,63.835200
SIN,SIN-DK-0002-0001,238080,0.000300,71.424000,0.000250,59.520000
SIN,SIN-NW-0001-0001,121,0.015900,1.923900,0.013500,1.633500
SIN,SIN-VM-0001-0001,16799,0.153300,2575.286700,0.130100,2185.549900
SIN,SIN-SD-0001-0001,2148042,0.000300,644.412600,0.000250,537.010500
Total,-,-,4162.1196,-,3517.3401
