HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-VM-0001-0002,365,0.306500,111.872500,0.261500,95.447500
SIN,SIN-VM-0001-0004,731,1.226100,896.279100,1.043600,762.871600
SIN,SIN-IP-0001-0001,2860,0.015900,45.474000,0.013500,38.610000
SIN,SIN-VM-0001-0003,475,0.613100,291.222500,0.521800,247.855000
SIN,SIN-DK-0001-0001,366840,0.000300,110.052000,0.000250,91.710000
SIN,SIN-DK-0002-0001,83580,0.000300,25.074000,0.000250,20.895000
SIN,SIN-NW-0001-0001,33,0.015900,0.524700,0.013500,0.445500
SIN,SIN-VM-0001-0001,35,0.153300,5.365500,0.130100,4.553500
SIN,SIN-SD-0001-0001,116480,0.000300,34.944000,0.000250,29.120000
Total,-,-,1520.8083,-,1291.5081
