ContractID,HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
4KWTY0DC,SIN,SIN-VM-0001-0002,744,0.306500,228.036000,0.261500,194.556000
4KWTY0DC,SIN,SIN-VM-0001-0004,1633,1.226100,2002.221300,1.043600,1704.198800
4KWTY0DC,SIN,SIN-IP-0001-0001,5952,0.015900,94.636800,0.013500,80.352000
4KWTY0DC,SIN,SIN-VM-0001-0003,5064,0.613100,3104.738400,0.521800,2642.395200
4KWTY0DC,SIN,SIN-DK-0001-0001,5438640,0.000300,1631.592000,0.000250,1359.660000
4KWTY0DC,SIN,SIN-NW-0002-0001,744,0.033700,25.072800,0.028600,21.278400
4KWTY0DC,SIN,SIN-NW-0001-0001,65,0.015900,1.033500,0.013500,0.877500
4KWTY0DC,SIN,SIN-VM-0001-0001,744,0.153300,114.055200,0.130100,96.794400
4KWTY0DC,SIN,SIN-SD-0001-0001,528240,0.000300,158.472000,0.000250,132.060000
4KWTY0DC,-,Total,-,-,7359.858,-,6232.1723
E83MYG3N,SIN,SIN-NW-0001-0001,52,0.015900,0.826800,0.013500,0.702000
E83MYG3N,SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.013500,10.044000
E83MYG3N,SIN,SIN-DK-0001-0001,44640,0.000300,13.392000,0.000250,11.160000
E83MYG3N,SIN,SIN-SD-0001-0001,29760,0.000300,8.928000,0.000250,7.440000
E83MYG3N,SIN,SIN-VM-0001-0001,744,0.153300,114.055200,0.130100,96.794400
E83MYG3N,-,Total,-,-,149.0316,-,126.1404
IQOGI5SL,SIN,SIN-VM-0001-0004,1317,1.226100,1614.773700,1.043600,1374.421200
IQOGI5SL,SIN,SIN-IP-0001-0001,2232,0.015900,35.488800,0.013500,30.132000
IQOGI5SL,SIN,SIN-VM-0001-0003,1146,0.613100,702.612600,0.521800,597.982800
IQOGI5SL,SIN,SIN-DK-0001-0001,1587750,0.000300,476.325000,0.000250,396.937500
IQOGI5SL,SIN,SIN-NW-0001-0001,96,0.015900,1.526400,0.013500,1.296000
IQOGI5SL,SIN,SIN-SD-0001-0001,119040,0.000300,35.712000,0.000250,29.760000
IQOGI5SL,-,Total,-,-,2866.4385,-,2430.5295
L4VL9IOT,SIN,SIN-VM-0001-0002,744,0.306500,228.036000,0.261500,194.556000
L4VL9IOT,SIN,SIN-NW-0001-0001,10,0.015900,0.159000,0.013500,0.135000
L4VL9IOT,SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.013500,10.044000
L4VL9IOT,SIN,SIN-DK-0001-0001,66960,0.000300,20.088000,0.000250,16.740000
L4VL9IOT,SIN,SIN-SD-0001-0001,29760,0.000300,8.928000,0.000250,7.440000
L4VL9IOT,-,Total,-,-,269.0406,-,228.915
