HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,2976,0.010000,29.760000,0.011000,32.736000
USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
USA,USA-DK-0003-0001,89280,0.000250,22.320000,0.000210,18.748800
USA,USA-SD-0001-0001,208320,0.000250,52.080000,0.000210,43.747200
USA,USA-VM-0001-0002,2976,0.249000,741.024000,0.213000,633.888000
USA,USA-VM-0001-0004,744,0.995000,740.280000,0.850000,632.400000
USA,USA-DK-0002-0001,29760,0.000250,7.440000,0.000210,6.249600
USA,USA-NW-0002-0001,1474,0.036400,53.653600,0.023300,34.344200
USA,USA-DK-0001-0001,6696000,0.000250,1674.000000,0.000210,1406.160000
USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
Total,-,-,4060.0936,-,3440.6738
