HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,4464,0.010000,44.640000,0.011000,49.104000
USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
USA,USA-DK-0003-0001,952320,0.000250,238.080000,0.000210,199.987200
USA,USA-VM-0001-0011,2507,2.000000,5014.000000,1.700000,4261.900000
USA,USA-DK-0003-0002,5914800,0.000250,1478.700000,0.000210,1242.108000
USA,USA-SD-0001-0001,267840,0.000250,66.960000,0.000210,56.246400
USA,USA-DK-0002-0001,59520,0.000250,14.880000,0.000210,12.499200
USA,USA-DK-0001-0001,2194800,0.000250,548.700000,0.000210,460.908000
USA,USA-VM-0001-0003,516,0.497000,256.452000,0.425000,219.300000
Total,-,-,7662.412,-,6502.0528
