HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,6696,0.010000,66.960000,0.011000,73.656000
USA,USA-NW-0001-0001,150,0.150000,22.500000,0.011000,1.650000
USA,USA-DK-0003-0001,66960,0.000250,16.740000,0.000210,14.061600
USA,USA-DK-0003-0002,1874880,0.000250,468.720000,0.000210,393.724800
USA,USA-SD-0001-0001,773760,0.000250,193.440000,0.000210,162.489600
USA,USA-VM-0001-0002,3717,0.249000,925.533000,0.213000,791.721000
USA,USA-VM-0001-0001,1488,0.125000,186.000000,0.106000,157.728000
USA,USA-VM-0001-0004,5949,0.995000,5919.255000,0.850000,5056.650000
USA,USA-NW-0002-0001,1488,0.036400,54.163200,0.023300,34.670400
USA,USA-DK-0001-0001,7640880,0.000250,1910.220000,0.000210,1604.584800
USA,USA-VM-0001-0003,8903,0.497000,4424.791000,0.425000,3783.775000
Total,-,-,14188.3222,-,12074.7112
