HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,5208,0.010000,52.080000,0.011000,57.288000
USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
USA,USA-DK-0003-0001,52080,0.000250,13.020000,0.000210,10.936800
USA,USA-DK-0003-0002,372000,0.000250,93.000000,0.000210,78.120000
USA,USA-SD-0001-0001,74400,0.000250,18.600000,0.000210,15.624000
USA,USA-VM-0001-0002,744,0.249000,185.256000,0.213000,158.472000
USA,USA-VM-0001-0001,743,0.125000,92.875000,0.106000,78.758000
USA,USA-DK-0001-0001,483600,0.000250,120.900000,0.000210,101.556000
USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
Total,-,-,1315.267,-,1133.1548
