HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,17856,0.010000,178.560000,0.011000,196.416000
USA,USA-NW-0001-0001,144,0.150000,21.600000,0.011000,1.584000
USA,USA-DK-0003-0001,372000,0.000250,93.000000,0.000210,78.120000
USA,USA-DK-0003-0002,662160,0.000250,165.540000,0.000210,139.053600
USA,USA-SD-0001-0001,334600,0.000250,83.650000,0.000210,70.266000
USA,USA-VM-0001-0002,9694,0.249000,2413.806000,0.213000,2064.822000
USA,USA-VM-0001-0001,13027,0.125000,1628.375000,0.106000,1380.862000
USA,USA-DK-0002-0001,7440,0.000250,1.860000,0.000210,1.562400
USA,USA-NW-0002-0001,8698,0.036400,316.607200,0.023300,202.663400
USA,USA-DK-0001-0001,1681340,0.000250,420.335000,0.000210,353.081400
USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
Total,-,-,6062.8692,-,5120.8308
