Product ID,Unit,USD Transfer Price(per unit),USD Transfer Price
USA-IP-0001-0001,86991,0.011000,956.901
USA-NW-0001-0001,3112,0.011000,34.232
USA-DK-0003-0001,4283120,0.000210,899.4552
USA-VM-0001-0011,5317,1.700000,9038.9
USA-DK-0003-0002,22321620,0.000210,4687.5402
USA-SD-0001-0001,4173150,0.000210,876.3615
USA-VM-0001-0002,21101,0.213000,4494.513
USA-VM-0001-0001,34255,0.106000,3631.03
USA-VM-0001-0004,16852,0.850000,14324.2
USA-DK-0002-0001,581360,0.000210,122.0856
USA-NW-0002-0001,11660,0.023300,271.678
USA-DK-0001-0001,33538800,0.000210,7043.148
USA-VM-0001-0003,21812,0.425000,9270.1
Total,-,-,55650.1445
