HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,16368,0.010000,163.680000,0.011000,180.048000
USA,USA-NW-0001-0001,25,0.150000,3.750000,0.011000,0.275000
USA,USA-DK-0003-0001,267840,0.000250,66.960000,0.000210,56.246400
USA,USA-SD-0001-0001,1263240,0.000250,315.810000,0.000210,265.280400
USA,USA-VM-0001-0002,2976,0.249000,741.024000,0.213000,633.888000
USA,USA-VM-0001-0001,13392,0.125000,1674.000000,0.106000,1419.552000
USA,USA-DK-0002-0001,386880,0.000250,96.720000,0.000210,81.244800
USA,USA-NW-0002-0001,1488,0.036400,54.163200,0.023300,34.670400
USA,USA-DK-0001-0001,529120,0.000250,132.280000,0.000210,111.115200
USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
Total,-,-,3987.9232,-,3414.7202
