HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,5952,0.010000,59.520000,0.011000,65.472000
USA,USA-NW-0001-0001,30,0.150000,4.500000,0.011000,0.330000
USA,USA-DK-0003-0001,148800,0.000250,37.200000,0.000210,31.248000
USA,USA-SD-0001-0001,357120,0.000250,89.280000,0.000210,74.995200
USA,USA-DK-0003-0002,29760,0.000250,7.440000,0.000210,6.249600
USA,USA-VM-0001-0002,744,0.249000,185.256000,0.213000,158.472000
USA,USA-VM-0001-0001,4462,0.125000,557.750000,0.106000,472.972000
USA,USA-DK-0002-0001,59520,0.000250,14.880000,0.000210,12.499200
USA,USA-DK-0001-0001,163680,0.000250,40.920000,0.000210,34.372800
USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
Total,-,-,1736.282,-,1489.0108
