seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
0,04NGOEL1,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
1,05WIDFAG,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
2,065CJ90A,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
3,0GJD1N3G,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
4,0J481QVP,DE01,DE01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
5,0LP0FQ90,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
6,0LXDUNVM,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
7,0UHC5GBO,DE01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
8,0W22UR17,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
9,0YNZB5VH,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
10,0YWAJ3VK,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
11,0ZL7B0CE,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
12,13VUIHAU,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
13,13VUM7UI,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
14,14KGG7P9,DE01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
15,14S73PPN,DE01,DE01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
16,17PROWZG,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
17,18UW1GW8,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
18,1EVF2U3Y,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
19,1KL49HCW,DE01,DE01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
