seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
0,05NYLAZY,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
1,0B01RRR5,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
2,0L8QN25O,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
3,0U9MQ95L,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
4,12OKUGC7,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
5,24VCOL9O,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
6,2S3B0NRI,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
7,3EDGOJY2,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
8,3NPJKHQ2,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
9,3Q9PFIFF,SG01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
10,3VL45W6T,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
11,47PN5ONT,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
12,4KWTY0DC,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
13,4NROXTG9,SG01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
14,4SZBQGCC,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
15,5SQQHG46,SG01,SG01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
16,5XO0V7M6,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
17,6A3RU0MH,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
18,6PT9YBGR,SG01,SG01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
19,6TPDBXM0,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
20,7C4LBZRI,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
21,8ARA5WTO,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
22,8B11N0IP,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
23,8MAFSPC6,SG01,SG01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
